iter	Passed	Remaining
407	3861	5603
408	3872	5595
409	3884	5590
410	3895	5582
411	3907	5576
412	3919	5570
413	3931	5565
414	3940	5554
415	3953	5550
416	3962	5539
417	3969	5527
418	3978	5516
419	3985	5504
420	3993	5492
421	4001	5480
422	4009	5469
423	4016	5456
424	4024	5445
425	4032	5433
426	4039	5421
427	4048	5410
428	4055	5398
429	4063	5386
430	4070	5373
431	4078	5362
432	4085	5349
433	4093	5338
434	4100	5326
435	4108	5314
436	4115	5302
437	4123	5290
438	4130	5278
439	4137	5266
440	4145	5254
441	4152	5241
442	4161	5231
443	4169	5220
444	4177	5210
445	4184	5197
446	4192	5186
447	4200	5175
448	4208	5164
449	4215	5151
450	4223	5141
451	4230	5129
452	4239	5118
453	4246	5106
454	4253	5095
455	4263	5085
456	4270	5074
457	4278	5063
458	4286	5052
459	4293	5039
460	4302	5030
461	4310	5019
462	4317	5007
463	4324	4996
464	4331	4983
465	4340	4973
466	4347	4961
467	4355	4951
468	4363	4940
469	4373	4931
470	4381	4920
471	4391	4912
472	4400	4902
473	4410	4894
474	4426	4892
475	4436	4883
476	4446	4875
477	4457	4867
478	4465	4857
479	4475	4848
480	4484	4838
481	4492	4828
482	4501	4818
483	4508	4806
484	4516	4795
485	4523	4784
486	4531	4773
487	4538	4762
488	4546	4750
489	4554	4740
490	4561	4729
491	4569	4718
492	4576	4706
493	4584	4695
494	4591	4684
495	4599	4673
496	4606	4661
497	4614	4651
498	4621	4639
499	4628	4628
500	4635	4616
501	4642	4605
502	4650	4594
503	4657	4583
504	4665	4573
505	4673	4562
506	4682	4553
507	4689	4542
508	4698	4532
509	4705	4521
510	4713	4510
511	4720	4499
512	4728	4488
513	4735	4477
514	4743	4466
515	4750	4455
516	4757	4444
517	4766	4434
518	4773	4423
519	4781	4413
520	4787	4401
521	4796	4391
522	4803	4380
523	4812	4371
524	4819	4360
525	4827	4350
526	4834	4339
527	4842	4329
528	4849	4318
529	4857	4307
530	4864	4296
531	4871	4285
532	4880	4275
533	4887	4264
534	4895	4254
535	4902	4243
536	4909	4233
537	4917	4222
538	4925	4212
539	4932	4201
540	4940	4191
541	4949	4182
542	4957	4172
543	4964	4161
544	4972	4151
545	4982	4142
546	4990	4132
547	4997	4122
548	5006	4112
549	5013	4101
550	5020	4091
551	5027	4080
552	5034	4069
553	5042	4059
554	5049	4048
555	5057	4038
556	5064	4027
557	5072	4018
558	5079	4007
559	5087	3997
560	5095	3987
561	5103	3977
562	5110	3966
563	5118	3956
564	5125	3945
565	5132	3935
566	5139	3924
567	5146	3914
568	5155	3904
569	5162	3894
570	5170	3884
571	5177	3873
572	5185	3863
573	5193	3854
574	5201	3844
575	5208	3834
576	5216	3824
577	5223	3813
578	5230	3803
579	5238	3793
580	5247	3783
581	5254	3773
582	5261	3763
583	5269	3753
584	5276	3743
585	5287	3735
586	5294	3725
587	5302	3715
588	5309	3704
589	5317	3695
590	5324	3684
591	5332	3675
592	5339	3665
593	5347	3655
594	5354	3644
595	5362	3634
596	5369	3624
597	5376	3614
598	5384	3604
599	5391	3594
600	5399	3584
601	5407	3574
602	5415	3565
603	5422	3554
604	5430	3545
605	5437	3535
606	5444	3525
607	5451	3514
608	5459	3504
609	5466	3494
610	5473	3484
611	5481	3474
612	5488	3464
613	5496	3455
614	5504	3445
615	5512	3436
616	5519	3426
617	5527	3416
618	5534	3406
619	5542	3396
620	5549	3386
621	5556	3376
622	5563	3366
623	5570	3356
624	5578	3347
625	5586	3337
626	5595	3328
627	5602	3318
628	5611	3309
629	5619	3300
630	5627	3290
631	5634	3280
632	5642	3271
633	5649	3261
634	5656	3251
635	5664	3241
636	5671	3231
637	5678	3221
638	5685	3211
639	5693	3202
640	5700	3192
641	5709	3183
642	5716	3174
643	5726	3165
644	5732	3155
645	5740	3145
646	5747	3136
647	5756	3126
648	5763	3116
649	5770	3107
650	5777	3097
651	5785	3087
