iter	Logloss
0	0.69254921
1	0.6920616212
2	0.6913154274
3	0.6906623715
4	0.6901855283
5	0.6895932787
6	0.6887323845
7	0.6881332385
8	0.6875205394
9	0.6871360633
10	0.6864648347
11	0.6858862987
12	0.6854585087
13	0.6851183442
14	0.6846260736
15	0.6840328243
16	0.6835466471
17	0.6828758594
18	0.6823674036
19	0.6817476514
20	0.6813143233
21	0.6809782466
22	0.6806092523
23	0.6802279361
24	0.6797396648
25	0.6794065269
26	0.6789808256
27	0.6786790687
28	0.6780921986
29	0.6777411722
30	0.6773704974
31	0.6769525142
32	0.6765470761
33	0.6760315303
34	0.6754602193
35	0.6751658952
36	0.674838501
37	0.6745354521
38	0.6741208426
39	0.6737941446
40	0.6734323163
41	0.6730160954
42	0.6725156525
43	0.6722036538
44	0.6718827346
45	0.6714308175
46	0.6709788663
47	0.6707543071
48	0.6703746192
49	0.6699869656
50	0.6694885794
51	0.6691122558
52	0.6687485122
53	0.6683686882
54	0.6680082185
55	0.6675397356
56	0.6672153665
57	0.6667665936
58	0.6661900658
59	0.6659656519
60	0.6654284312
61	0.6649382131
62	0.6644888414
63	0.6640571872
64	0.6637279788
65	0.6632761571
66	0.6631238206
67	0.6629675293
68	0.6627423919
69	0.6624680406
70	0.6620825661
71	0.66167505
72	0.661504805
73	0.6611784722
74	0.6608796166
75	0.6604445061
76	0.6601675526
77	0.6599465438
78	0.6597644012
79	0.6593953036
80	0.6589457529
81	0.6585098602
82	0.658345387
83	0.6582172747
84	0.6579416714
85	0.6575710662
86	0.6572914025
87	0.6569355301
88	0.6566627625
89	0.6563991396
90	0.6561842317
91	0.6558140176
92	0.6555307261
93	0.6552714504
94	0.6549709471
95	0.6548022082
96	0.6545154485
97	0.6540110957
98	0.6537637755
99	0.6534253835
100	0.6531089068
101	0.6527522473
102	0.6525754356
103	0.6521055879
104	0.651930248
105	0.6516479354
106	0.651467261
107	0.6510619205
108	0.6508487213
109	0.6506193833
110	0.6502080617
111	0.6500103012
112	0.6497572188
113	0.6493930845
114	0.6491531987
115	0.6489378306
116	0.648648099
117	0.6483006011
118	0.6478758926
119	0.6476733173
120	0.6473513875
121	0.6469925557
122	0.6467824869
123	0.6463987928
124	0.6460867517
125	0.6456533628
126	0.6454260232
127	0.6450770382
128	0.644875469
129	0.6446706941
130	0.6444661296
131	0.6442619004
132	0.6439786881
133	0.6436943888
134	0.6434487607
135	0.6432268204
136	0.6427464147
137	0.6424163055
138	0.6422079249
139	0.6419707167
140	0.6415989773
141	0.6413940183
142	0.6411873642
143	0.6407559057
144	0.6405673535
145	0.6404391881
146	0.6401489327
147	0.6399564222
148	0.6395653395
149	0.6393720992
150	0.6391949248
151	0.6389136758
152	0.6386914308
153	0.6384086304
154	0.6381785912
155	0.637947002
156	0.6377533434
157	0.6376365464
158	0.637603953
159	0.6374534703
160	0.6373087065
161	0.6371562658
162	0.6370194628
163	0.6368564159
164	0.6366309761
165	0.6364675238
166	0.6362666794
167	0.6360024985
168	0.6358517857
169	0.6356585462
170	0.6355335597
171	0.6351389907
172	0.6349229593
173	0.6347932671
174	0.6345549565
175	0.6343340695
176	0.6339414804
177	0.6337216461
178	0.6334836866
179	0.6332163112
180	0.6329342125
181	0.6327573109
182	0.6325200008
183	0.6323891477
184	0.632256576
185	0.6321037898
186	0.6319307198
187	0.6317644739
188	0.6315509496
189	0.6312932914
190	0.6308904709
191	0.6307717226
192	0.6304888501
193	0.6303424106
194	0.6300068655
195	0.6298740206
196	0.6295140231
197	0.6293078873
198	0.6291240496
199	0.6290059538
200	0.6286932706
201	0.628353928
202	0.628149482
203	0.6280499784
204	0.6277926194
205	0.6275638805
206	0.6272918512
207	0.6271522202
208	0.6269169206
209	0.6267923742
210	0.6266201897
211	0.6264065625
212	0.6263029739
213	0.6261589139
214	0.6259200532
215	0.6257525491
216	0.625683183
217	0.6255457688
218	0.625360302
219	0.6250630525
220	0.6249271753
221	0.6248572012
222	0.6246586836
223	0.6243161072
224	0.6242411547
225	0.6239540553
226	0.623829841
227	0.6235538344
228	0.6233931361
229	0.6230947883
230	0.6229185188
231	0.6226279115
232	0.6224842051
233	0.6223672249
234	0.6221221612
235	0.6218893624
236	0.6217187238
237	0.6213809943
238	0.621231329
239	0.6210490258
240	0.620560533
241	0.6204196951
242	0.6200638661
243	0.6198674555
244	0.6196139585
245	0.6194268186
246	0.6191668061
247	0.6189734036
248	0.6186949826
249	0.6185278396
250	0.6183698707
251	0.6181141093
252	0.6178212922
253	0.6176495638
254	0.6174599696
255	0.6173504651
256	0.61717211
257	0.6170351088
258	0.6168802819
259	0.6165299952
260	0.616178838
261	0.6160696558
262	0.6158682021
263	0.6157228471
264	0.6156308525
265	0.615352289
266	0.6150612401
267	0.6149224867
268	0.6147355246
269	0.6145696239
270	0.6144000623
271	0.6142725413
272	0.6140569032
273	0.6138580783
274	0.6137802006
275	0.6136502402
276	0.6133662604
277	0.6131449496
278	0.6130528664
279	0.6129799146
280	0.6128027396
281	0.6127093324
282	0.6125761099
283	0.6124017354
284	0.6122721216
285	0.6120590287
286	0.6118477321
287	0.6116926664
288	0.6114681397
289	0.6112689635
290	0.6110033649
291	0.610814371
292	0.6105074573
293	0.6103750886
294	0.6100735594
295	0.6099974004
296	0.6098776645
297	0.6097411003
298	0.6094576443
299	0.6091305371
300	0.6088741629
301	0.6086709184
302	0.6084945425
303	0.6083016317
304	0.6081217093
305	0.6080056121
306	0.6077950408
307	0.6075895933
308	0.6074944482
309	0.6072415208
310	0.6070611194
311	0.6069299691
312	0.6066055337
313	0.6064906391
314	0.6063325023
315	0.6062373619
316	0.6061695911
317	0.6060031361
318	0.6057658521
319	0.6053810461
320	0.6052139804
321	0.6049952167
322	0.604876809
323	0.6046477471
324	0.6044358329
325	0.6043676589
326	0.6040527825
327	0.6039288669
328	0.6038054024
329	0.603638815
330	0.6032536584
331	0.6031406255
332	0.6029642325
333	0.6028421476
334	0.6027128461
335	0.6025012735
336	0.6021865249
337	0.602010972
338	0.6018672975
339	0.6016395921
340	0.6013746102
341	0.6010432293
342	0.6008077676
343	0.6006902473
344	0.6004891637
345	0.6003031869
346	0.6002269965
347	0.6000629905
348	0.5998867719
349	0.5995803406
350	0.5993981931
351	0.5991739069
352	0.5990516108
353	0.5988358484
354	0.5986821242
355	0.5985691621
356	0.5984660376
357	0.5982369808
358	0.5981724218
359	0.5979792172
360	0.5977183887
361	0.5976407684
362	0.5974951848
363	0.5973069883
364	0.5971588922
365	0.5969485811
366	0.5968367511
367	0.5966591472
368	0.5965931331
369	0.5963992107
370	0.5962515944
371	0.5961271382
372	0.5960179904
373	0.5958284513
374	0.5956114402
375	0.5953079849
376	0.5951968729
377	0.5950138704
378	0.5947511478
379	0.5945799374
380	0.5944227845
381	0.5943648573
382	0.5942091091
383	0.5940702112
384	0.593972744
385	0.593823556
386	0.5937085938
387	0.5935432969
388	0.5932780673
389	0.5931470703
